basePrice,batterySize,capacities,frontCamera,memory,opSys,pricing,rearCamera,released,screen,screenRes,screenType,sensors,title
,Removable Li-Ion 2410 mAh battery,,"5 MP, f/2.4, 1/5"", 1.12µm",16GB 2GB RAM,Android 7.1.2 (Nougat),,"13 MP, f/2.2, 1/3.1"", 1.12µm, PDAF","2018, January","5.0 inches, 68.9 cm, (~66.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity",LG Aristo 2
,Removable Li-Ion 2500 mAh battery,,,16GB 2GB RAM,Android 7.1.2 (Nougat),,,"2018, February","5.0 inches, 68.9 cm, (~64.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","S-IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity",LG K8 (2018)
,Non-removable Li-Ion 3000 mAh battery,,8 MP or 5 MP,"16GB 2GB RAM, 32GB 3GB RAM",Android 7.1.2 (Nougat),,"13 MP or 8 MP, PDAF","2018, February","5.3 inches, 77.4 cm, (~69.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~277 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity, compass",LG K10 (2018)
,Non-removable Li-Ion 2880 mAh battery,,5 MP,32GB 2GB RAM,Android 7.1 (Nougat),,"13 MP, PDAF","2018, May","5.3 inches, 77.4 cm, (~69.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~277 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity, compass",LG K30
,Removable Li-Ion 2500 mAh battery,,5 MP,16GB 2GB RAM,Android 7.1.2 (Nougat),,"8 MP, AF","2018, March","5.0 inches, 68.9 cm, (~66.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity",LG Zone 4
,Non-removable Li-Po 3300 mAh battery,,"5 MP, f/2.2, 22mm (wide), 1/5"", 1.12µm","128GB 6GB RAM, 256GB 6GB RAM",Android 8.0 (Oreo); LG UX 6,,"16 MP, f/1.6, 30mm (standard), 1/3.1"", 1.0µm, PDAF, Laser AF, 3-axis OIS,
13 MP, f/1.9, 13mm (ultrawide), 1/3.4"", 1.0µm","2018, February","6.0 inches, 92.6 cm, (~80.9% screen-to-body ratio)","1440 x 2880 pixels, 18:9 ratio (~538 ppi density)","P-OLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer, color spectrum",LG V30S ThinQ
"$ 193.19 / £ 259.99 / € 408.00 / ₹ 20,400",Non-removable Li-Po 3000 mAh battery,"64GB 4GB RAM,128GB 6GB RAM","8 MP, f/1.9, 26mm (wide)","64GB 4GB RAM, 128GB 6GB RAM","Android 8.0 (Oreo), upgradable to Android 9.0 (Pie)","$ 193.19,$ 259.99,£ 259.99,£ 309.99,€ 408.00,$ 389.99,₹ 39,999","16 MP, f/1.6, 30mm (standard), 1/3.1"", 1.0µm, PDAF, Laser AF, OIS,
16 MP, f/1.9, 16mm (ultrawide), 1/3.1"", no AF","2018, May","6.1 inches, 91.0 cm, (~82.6% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~564 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",LG G7 ThinQ
,Non-removable Li-Po 3000 mAh battery,,"5 MP (Q7α),
8 MP, f/1.9, 1/4"", 1.12µm (Q7, Q7+)","32GB 3GB RAM, 64GB 4GB RAM",Android 8.1 (Oreo),,"13 MP, f/2.2, 1/3.1"", 1.12µm, PDAF (Q7, Q7α),
16 MP, PDAF (Q7+)","2018, May","5.5 inches, 77.0 cm, (~77.3% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~442 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",LG Q7
,Non-removable Li-Po 3300 mAh battery,,"8 MP, f/1.9, 26mm (wide)","64GB 6GB RAM, 128GB 6GB RAM","Android 8.0 (Oreo), upgradable to Android 9.0 (Pie)",,"16 MP, f/1.6, 30mm (standard), 1/3.1"", 1.0µm, PDAF, Laser AF, 3-axis OIS,
16 MP, f/1.9, 16mm (ultrawide), 1/3.1"", 1.0µm, PDAF, Laser AF","2018, May","6.0 inches, 92.6 cm, (~80.9% screen-to-body ratio)","1440 x 2880 pixels, 18:9 ratio (~538 ppi density)","P-OLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer, color spectrum",LG V35 ThinQ
,Removable Li-Ion 3000 mAh battery,,1.3 MP,8GB 1GB RAM,Android 4.4.2 (KitKat),,"13 MP, f/2.4, AF","2014, August","5.5 inches, 83.4 cm, (~73.6% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~200 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",LG G3 Stylus
