basePrice,batterySize,capacities,frontCamera,memory,opSys,pricing,rearCamera,released,screen,screenRes,screenType,sensors,title
,Non-removable Li-Ion 3200 mAh battery,,2.2 MP,16GB 3GB RAM,"Android 4.4.2 (KitKat), upgradable to 6.0 (Marshmallow)",,"20.7 MP, f/2.0, 1/2.3"", 1.12µm, AF","2014, February","5.2 inches, 74.5 cm, (~69.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass, barometer",Sony Xperia Z2
,Non-removable Li-Po 6000 mAh battery,,2.2 MP,"16GB 3GB RAM, 32GB 3GB RAM","Android 4.4.2 (KitKat), upgradable to 6.0 (Marshmallow)",,"8.1 MP, AF","2014, February","10.1 inches, 295.8 cm, (~64.7% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~224 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, gyro, compass",Sony Xperia Z2 Tablet Wi-Fi
,Removable Li-Ion 1530 mAh battery,,No,"4GB (2GB user available), 512MB RAM",Android 4.1 (Jelly Bean); Timescape UI,,3.15 MP,"2012, December","3.5 inches, 36.5 cm, (~52.0% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)","TFT capacitive touchscreen, 256K colors","Accelerometer, proximity",Sony Xperia E
,Removable Li-Ion 1530 mAh battery,,No,"4GB (2GB user available), 512MB RAM","Android 4.0.4 (Ice Cream Sandwich), upgradable to 4.1.1 (Jelly Bean); Timescape UI",,3.15 MP,"2012, December","3.5 inches, 36.5 cm, (~52.0% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)","TFT capacitive touchscreen, 256K colors","Accelerometer, proximity",Sony Xperia E dual
,Non-removable Li-Ion 2370 mAh  battery,,2 MP,16GB 2GB RAM,"Android 4.1.2 (Jelly Bean), upgradable to 5.1.1 (Lollipop)",,"13 MP, AF","2013, January. Released 2013, March","5.0 inches, 68.9 cm, (~75.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass, barometer (C6502 only)",Sony Xperia ZL
,Non-removable Li-Ion 2330 mAh battery,,2.2 MP,16GB 2GB RAM,"Android 4.1.2 (Jelly Bean), upgradable to 5.1.1 (Lollipop)",,"13.1 MP, f/2.4, AF","2013, January","5.0 inches, 68.9 cm, (~69.8% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Sony Xperia Z
,Non-removable Li-Po 6000 mAh battery,,2.2 MP,"16GB 2GB RAM, 32GB 2GB RAM","Android 4.1.2 (Jelly Bean), upgradable to 5.1.1 (Lollipop)",,"8.1 MP, AF","2013, February. Released 2013, May","10.1 inches, 295.8 cm, (~64.7% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~224 ppi density)","LED-backlit LCD, capacitive touchscreen, 16M colors","Accelerometer, gyro, compass",Sony Xperia Tablet Z Wi-Fi
,Non-removable Li-Po 6000 mAh battery,,2.2 MP,16GB 3GB RAM,"Android 4.4.2 (KitKat), upgradable to 5.1.1 (Lollipop)",,"8.1 MP, AF","2014, February","10.1 inches, 295.8 cm, (~64.7% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~224 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, gyro, compass",Sony Xperia Z2 Tablet LTE
,Non-removable Li-Ion 2300 mAh battery,,VGA,8GB 1GB RAM,"Android 4.3 (Jelly Bean), upgradable to 5.1 (Lollipop)",,"8 MP, AF","2014, February","4.8 inches, 63.5 cm, (~63.9% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~229 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Sony Xperia M2 dual
,Non-removable Li-Ion 2300 mAh battery,,VGA,8GB 1GB RAM,"Android 4.3 (Jelly Bean), upgradable to 5.1 (Lollipop)",,"8 MP, f/2.4, AF","2014, February","4.8 inches, 63.5 cm, (~63.9% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~229 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Sony Xperia M2
,Removable Li-Ion 225 mAh battery,,,,Android OS compatible,,No,"2013, June","1.6 inches, 8.1 cm, (~46.8% screen-to-body ratio)",220 x 176 pixels (~176 ppi density),Capacitive touchscreen,Yes,Sony SmartWatch 2 SW2
,Non-removable Li-Po 420 mAh battery,,,4GB 512MB RAM,Android Wear OS,,No,"2014, February","1.6 inches, 8.3 cm, (~45.0% screen-to-body ratio)","320 x 320 pixels, 1:1 ratio (~283 ppi density)","TFT capacitive touchscreen, 65K colors","Accelerometer, gyro, compass",Sony SmartWatch 3 SWR50
,Non-removable Li-Ion 2500 mAh battery,,1.1 MP,8GB 1GB RAM,Android 4.4.2 (KitKat),,"8 MP, f/2.4, AF","2014, June","5.3 inches, 77.4 cm, (~66.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~277 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Sony Xperia T3
,Non-removable Li-Ion 3000 mAh battery,,VGA,16GB 3GB RAM,Android 4.4.2 (KitKat),,"20.7 MP, 1/2.3"", AF","2014, June","5.0 inches, 68.9 cm, (~69.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass, barometer",Sony Xperia Z2a
,Non-removable Li-Ion 2500 mAh battery,,"5 MP, f/2.3",8GB 1GB RAM,"Android 4.4.2 (KitKat), upgradable to 5.1 (Lollipop)",,"8 MP, f/2.3, AF","2014, July","5.5 inches, 83.4 cm, (~67.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Sony Xperia C3
,Non-removable Li-Ion 2500 mAh battery,,"5 MP, f/2.3",8GB 1GB RAM,"Android 4.4.2 (KitKat), upgradable to 5.1 (Lollipop)",,"8 MP, f/2.3, AF","2014, July","5.5 inches, 83.4 cm, (~67.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Sony Xperia C3 Dual
,Non-removable Li-Ion 3080 mAh battery,,VGA,4GB 1GB RAM,"Android 3.2 (Honeycomb), upgradable to 4.0 (Ice Cream Sandwich)",,"5 MP, AF","2012, Q1. Released 2012, September","5.5 inches, 75.0 cm, (~26.4% screen-to-body ratio)",1024 x 480 pixels (~206 ppi density),"Dual TFT capacitive touchscreen, 16M colors","Accelerometer, gyro, compass",Sony Tablet P
,Non-removable Li-Ion 1900 mAh battery,,1.3 MP,16GB 1GB RAM,"Android 2.3 (Gingerbread), 4.0 (Ice Cream Sandwich), upgradable to 4.1.2 (Jelly Bean)",,"12 MP, AF","2012, January. Released 2012, June","4.55 inches, 57.1 cm, (~63.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~323 ppi density)","LED-backlit LCD, capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Sony Xperia ion LTE
,Non-removable Li-Ion 1900 mAh battery,,1.3 MP,"13.2GB (12.9GB user available), 1GB RAM","Android 2.3 (Gingerbread), upgradable to 4.1.2 (Jelly Bean)",,"12 MP, AF","2012, April. Released 2012, June","4.55 inches, 57.1 cm, (~63.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~323 ppi density)","LED-backlit LCD, capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Sony Xperia ion HSPA
,Non-removable Li-Ion 1750 mAh battery,,1.3 MP,32GB 1GB RAM,"Android 2.3 (Gingerbread), upgradable to 4.1.2 (Jelly Bean)",,"12 MP, AF","2012, January. Released 2012, February","4.3 inches, 51.0 cm, (~62.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~342 ppi density)","LED-backlit LCD, capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Sony Xperia S
,Non-removable Li-Ion 1305 mAh battery,,VGA,"16GB (13GB user available), 1GB RAM","Android 2.3 (Gingerbread), upgradable to 4.1 (Jelly Bean)",,"8 MP, AF","2012, February. Released 2012, May","4.0 inches, 44.1 cm, (~60.8% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~275 ppi density)","LED-backlit LCD, capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Sony Xperia P
