,basePrice,batterySize,capacities,frontCamera,memory,opSys,pricing,rearCamera,released,screen,screenRes,screenType,sensors,title
20,"$ 199.00 / £ 182.00 / € 215.00 / ₹ 27,999",Non-removable Li-Ion 1960 mAh battery (7.45 Wh),"32GB,128GB,256GB","7 MP, f/2.2, 32mm (standard)","32GB 2GB RAM, 128GB 2GB RAM, 256GB 2GB RAM","iOS 10.0.1, upgradable to iOS 13.2","$ 199.00,$ 249.99,$ 208.28,$ 214.85,$ 249.99,£ 207.53,$ 231.51,$ 329.00,£ 256.00","12 MP, f/1.8, 28mm (wide), 1/3"", PDAF, OIS","2016, September","4.7 inches, 60.9 cm, (~65.6% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","Retina IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer",Apple iPhone 7
21,"$ 259.00 / £ 259.00 / € 332.33 / ₹ 32,999",Non-removable Li-Ion 2900 mAh battery (11.1 Wh),"32GB,128GB,256GB","7 MP, f/2.2, 32mm (standard)","32GB 3GB RAM, 128GB 3GB RAM, 256GB 3GB RAM","iOS 10.0.1, upgradable to iOS 13.2","$ 259.00,$ 377.99,$ 324.70,$ 292.44,$ 406.99,$ 381.46,$ 319.83,$ 849.99,£ 323.00","12 MP, f/1.8, 28mm (wide), 1/3"", PDAF, OIS,
12 MP, f/2.8, 56mm (telephoto), 1/3.6"", AF, 2x optical zoom","2016, September","5.5 inches, 83.4 cm, (~67.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Retina IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer",Apple iPhone 7 Plus
22,,Non-removable Li-Ion 205 mAh battery (0.78 Wh),,,8GB 512MB RAM,"watchOS 3.0, upgradable to 6.1",,No,"2016, September","1.5 inches, 7.1 cm, (~55.1% screen-to-body ratio)",340 x 272 pixels (~290 ppi density),"OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate",Apple Watch Series 1 Aluminum 38mm
23,,Non-removable Li-Ion 273 mAh battery (1.03 Wh),,,8GB 512MB RAM,"watchOS 3.0, upgradable to 6.1",,No,"2016, September. Released 2016, December","1.5 inches, 7.1 cm, (~55.1% screen-to-body ratio)",340 x 272 pixels (~290 ppi density),"OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate",Apple Watch Series 2 Aluminum 38mm
24,,Non-removable Li-Ion 250 mAh battery (0.94 Wh),,,8GB 512MB RAM,"watchOS 3.0, upgradable to 6.1",,No,"2016, September","1.65 inches, 8.6 cm, (~55.4% screen-to-body ratio)",390 x 312 pixels (~303 ppi density),"OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate",Apple Watch Series 1 Aluminum 42mm
25,,Non-removable Li-Ion 334 mAh battery (1.27 Wh),,,8GB 512MB RAM,"watchOS 3.0, upgradable to 6.1",,No,"2016, September. Released 2016, December","1.65 inches, 8.6 cm, (~55.4% screen-to-body ratio)",390 x 312 pixels (~303 ppi density),"OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate",Apple Watch Series 2 Aluminum 42mm
26,,Non-removable Li-Ion 273 mAh battery (1.03 Wh),,,8GB 512MB RAM,"watchOS 3.0, upgradable to 6.1",,No,"2016, September. Released 2016, December","1.5 inches, 7.1 cm, (~55.1% screen-to-body ratio)",340 x 272 pixels (~290 ppi density),"OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate",Apple Watch Series 2 38mm
27,,Non-removable Li-Ion 273 mAh battery (1.03 Wh),,,8GB 512MB RAM,"watchOS 3.0, upgradable to 6.1",,No,"2016, September. Released 2016, December","1.5 inches, 7.1 cm, (~53.1% screen-to-body ratio)",340 x 272 pixels (~290 ppi density),"OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate",Apple Watch Edition Series 2 38mm
28,,Non-removable Li-Ion 334 mAh battery (1.27 Wh),,,8GB 512MB RAM,"watchOS 3.0, upgradable to 6.1",,No,"2016, September. Released 2016, December","1.65 inches, 8.6 cm, (~55.4% screen-to-body ratio)",390 x 312 pixels (~303 ppi density),"OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate",Apple Watch Series 2 42mm
29,,Non-removable Li-Ion 334 mAh battery (1.27 Wh),,,8GB 512MB RAM,"watchOS 3.0, upgradable to 6.1",,No,"2016, September. Released 2016, December","1.65 inches, 8.6 cm, (~55.1% screen-to-body ratio)",390 x 312 pixels (~303 ppi density),"OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate",Apple Watch Edition Series 2 42mm
